,variables
678,card_Merch_num_des_variability_avg_30
679,card_Merch_num_des_actual/total_30
680,card_Merch_num_des_actual/max_30
681,card_Merch_num_des_actual/avg_30
682,card_Merch_num_des_std_30
683,card_Merch_num_des_total_30
684,card_Merch_num_des_max_30
685,card_Merch_num_des_avg_30
686,card_Merch_num_des_count_30
687,card_Merch_num_des_variability_std_14
688,card_Merch_num_des_variability_cum_14
689,card_Merch_num_des_variability_max_14
690,card_Merch_num_des_variability_min_14
691,card_Merch_num_des_variability_avg_14
692,card_Merch_num_des_actual/total_14
693,card_Merch_num_des_actual/max_14
694,card_Merch_num_des_actual/avg_14
695,card_Merch_num_des_std_14
696,card_Merch_num_des_total_14
697,card_Merch_num_des_max_14
698,card_Merch_num_des_avg_14
699,card_Merch_num_des_count_14
700,card_Merch_num_des_variability_std_7
701,card_Merch_num_des_variability_cum_7
702,card_Merch_num_des_variability_max_7
703,card_Merch_num_des_variability_min_7
704,card_Merch_num_des_variability_avg_7
705,card_Merch_num_des_actual/total_7
706,card_Merch_num_des_actual/max_7
707,card_Merch_num_des_actual/avg_7
708,card_Merch_num_des_std_7
709,card_Merch_num_des_total_7
710,card_Merch_num_des_max_7
711,card_Merch_num_des_avg_7
712,card_Merch_num_des_count_7
713,card_Merch_num_des_variability_std_3
714,card_Merch_num_des_variability_cum_3
715,card_Merch_num_des_variability_max_3
716,card_Merch_num_des_variability_min_3
717,card_Merch_num_des_variability_avg_3
718,card_Merch_num_des_actual/total_3
719,card_Merch_num_des_actual/max_3
